E,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39
3.14434,0.160825,0.411165,0.669428,0.93291,1.20113,1.47379,1.75475,2.04108,2.33231,2.62868,2.93173,3.2407,3.55569,3.87598,4.2037,4.53562,4.87645,5.22132,5.57351,5.93244,7.13394,8.40702,9.74081,11.1291,12.5667,14.0514,15.571,17.1029,18.739,20.4194,22.0754,23.725,25.5763,27.1369,34.3592,41.2574,48.7154,56.2245,63.5332
3.62038,0.169403,0.436007,0.710366,0.990053,1.2745,1.56725,1.86706,2.17261,2.48387,2.80285,3.12878,3.46143,3.79967,4.14426,4.49847,4.85906,5.22516,5.60046,5.98179,6.3704,7.69926,9.08929,10.5491,12.0809,13.6856,15.3444,17.0536,18.8889,20.773,22.7486,24.5997,26.8556,28.8882,30.8984,40.1361,49.4241,60.0945,70.7531,81.2522
4.16849,0.181487,0.465887,0.758393,1.05618,1.36236,1.67632,1.99681,2.32449,2.66081,3.00551,3.35555,3.714,4.08066,4.45657,4.83775,5.23002,5.62742,6.03716,6.45562,6.88274,8.32947,9.86651,11.5006,13.2277,15.0584,16.9787,19.0155,21.1917,23.4635,25.7777,28.3342,31.1607,33.4339,36.8354,48.5842,62.7503,77.6717,93.1367,109.395
4.79958,0.194295,0.498526,0.810906,1.13275,1.46256,1.8002,2.14531,2.5002,2.86541,3.23865,3.6172,4.0082,4.40879,4.819,5.23893,5.66588,6.10625,6.55848,7.02077,7.49126,9.1146,10.8492,12.7084,14.7017,16.8272,19.1401,21.6402,24.3205,27.2238,30.2836,33.9336,37.2806,41.1127,45.3972,62.0399,82.8905,103.854,127.263,151.083
5.52621,0.208811,0.534967,0.873544,1.22212,1.57892,1.94356,2.32004,2.70751,3.1061,3.51204,3.92935,4.36075,4.80308,5.25165,5.71685,6.19169,6.68645,7.18732,7.70366,8.23729,10.0817,12.0745,14.2505,16.6403,19.2876,22.164,25.4099,28.8655,32.8405,37.2334,42.1983,46.5741,53.0508,58.0709,84.0493,112.883,144.305,177.672,211.599
6.36285,0.225023,0.580251,0.950105,1.32974,1.71762,2.11867,2.53308,2.96057,3.39841,3.84896,4.3172,4.79839,5.29012,5.79902,6.31808,6.86709,7.42363,7.99773,8.59493,9.20835,11.3549,13.7527,16.4266,19.4171,22.82,26.6141,30.937,35.8619,41.4667,47.9869,54.1453,62.1746,70.284,76.7511,115.645,155.389,202.461,248.604,292.989
7.32616,0.247611,0.639906,1.04641,1.4629,1.89387,2.3425,2.80549,3.28039,3.77136,4.28449,4.81653,5.35947,5.92275,6.50905,7.12353,7.7478,8.4004,9.08175,9.78116,10.5267,13.1656,16.1415,19.5609,23.5432,28.0602,33.4605,39.4581,46.6927,54.6333,63.6869,73.1006,85.0579,94.7761,107.987,160.398,219.608,283.51,347.216,408.432
8.43531,0.276905,0.713749,1.16563,1.63457,2.12443,2.6327,3.15654,3.70126,4.2739,4.86782,5.48649,6.12493,6.79627,7.49464,8.23413,8.98483,9.79609,10.6339,11.5274,12.4404,15.7581,19.7266,24.3893,29.9106,36.2866,43.7881,52.531,62.6749,74.2318,86.4408,101.783,116.929,131.156,151.057,220.767,306.319,390.18,474.46,558.584
9.71237,0.313653,0.808097,1.32482,1.87056,2.43892,3.0271,3.64207,4.29894,4.98337,5.69186,6.44397,7.231,8.06779,8.95201,9.84705,10.8395,11.8651,12.9737,14.1057,15.3132,19.9054,25.3001,31.7029,39.4036,48.6559,59.1981,71.9968,86.0892,102.259,120.903,141.975,160.05,186.152,209.089,309.885,421.68,532.102,642.737,751.828
11.1828,0.363508,0.941596,1.56221,2.21464,2.89327,3.60648,4.37689,5.18915,6.03932,6.93413,7.89808,8.9274,10.0065,11.1436,12.3802,13.6889,15.0772,16.549,18.121,19.8004,25.9088,33.5808,42.8778,53.8899,66.9382,82.2108,99.6719,119.499,142.889,169.106,195.525,224.347,257.956,284.94,425.873,566.974,715.341,856.322,984.673
12.8758,0.438996,1.16143,1.93076,2.73962,3.59153,4.52321,5.51612,6.56466,7.67419,8.8834,10.1809,11.5502,13.009,14.5505,16.2932,18.08,20.0054,22.0622,24.2612,26.6233,35.5954,46.3923,59.4007,74.842,93.1336,114.475,138.511,167.228,198.868,233.69,267.557,311.447,350.164,390.012,572.525,753.462,940.508,1116.18,1269.24
14.8251,0.57558,1.50883,2.49962,3.54883,4.70678,5.95538,7.2783,8.6856,10.2368,11.9145,13.6787,15.5688,17.622,19.878,22.2133,24.7678,27.4564,30.3571,33.5465,36.8761,49.1475,64.371,82.8488,104.669,130.133,159.33,193.055,231.505,273.384,316.084,367.54,420.774,466.064,529.137,750.456,986.211,1208.91,1420.4,1608.54
17.0696,0.771129,2.01658,3.34008,4.8128,6.40954,8.12002,9.94029,11.9427,14.137,16.4788,18.92,21.6159,24.559,27.7421,31.0777,34.6328,38.4767,42.6517,47.078,51.7562,69.553,90.8721,116.299,146.076,180.475,220.121,265.327,315.006,368.172,427.062,493.561,554.526,623.04,695.285,970.445,1257.38,1520.52,1766.71,1987.59
19.6539,1.05679,2.75624,4.65044,6.72331,8.95122,11.3262,13.9384,16.7937,19.8718,23.1331,26.6272,30.5443,34.6892,38.9724,43.7712,48.7497,54.3056,59.9845,66.1322,72.7311,97.103,126.248,160.849,201.065,247.353,299.201,357.727,419.964,489.3,566.515,644.973,720.006,811.558,891.668,1234,1566.8,1879.11,2152.18,2398.29
22.6294,1.45801,3.9038,6.60511,9.51549,12.6111,16.0143,19.7649,23.7751,28.0113,32.6465,37.6949,43.1177,48.8228,54.9849,61.4556,68.6592,76.099,84.0136,92.4508,101.398,134.644,174.018,219.838,272.45,332.08,398.362,470.84,550.912,639.333,732.824,820.347,925.49,1027.14,1116.8,1527.4,1904.47,2261.12,2568.51,2821.83
26.0553,2.10936,5.61057,9.39083,13.4146,17.8339,22.6715,27.8786,33.3788,39.3148,45.8274,52.7969,60.1368,67.9673,76.4575,85.5146,94.9885,105.008,115.741,127.03,139.146,183.422,234.744,293.746,361.121,435.692,519.098,609.334,709.441,814.369,920.865,1033.34,1155.14,1264.79,1386.84,1845.19,2276.57,2660.83,2997.25,3274.51
30,2.99041,7.85477,13.0415,18.6941,24.8896,31.5377,38.5675,46.1824,54.4337,63.2215,72.6014,82.5181,93.1253,104.333,116.473,128.955,142.415,156.61,171.689,187.279,243.734,309.724,384.745,468.481,560.726,661.913,771.476,888.492,1009.75,1133.28,1270.69,1402.92,1529.68,1668.79,2174.88,2650.17,3059.16,3415.08,3708.95
